subscriber_id,subscriber_name,id
subscriber_id,subscriber_name,189
0002,Kenya Commercial Bank Limited - Head Office,190
0003,Kenya Commercial Bank Limited - Card Centre,191
0014,I&M Bank Limited,192
0065,Diamond Trust Bank Kenya Ltd,193
0096,Credit Reference Bureau Africa Limited T/A TransUnion,194
0097,NIC Bank Ltd,195
0098,Barclays Bank of Kenya (Barclays Plaza),196
0099,Barclays  Bank of Kenya ,197
0100,Barclays Bank of Kenya,198
0101,Guaranty Trust Bank Kenya LTD.,199
0102,Stanbic Bank Kenya Limited,200
0104,Transnational Bank Limited,201
0106,Co-operative Bank Of Kenya Limited,202
0107,Fidelity Commercial Bank Limted,203
0793,Credit Reference Bureau Africa Limited (Banks),204
0800,Southern Credit Banking Corporation Ltd-Card Sector,205
0808,Imperial Bank Limited-Card,206
0811,Kenya Post Office Savings Bank,207
0820,Bank of Africa Kenya Limited,208
0840,Commercial Bank of Africa,209
0864,Southern Credit Banking Corporation Limited-Bank Sector,210
0924,Dubai Bank Kenya Ltd,211
0939,Housing Finance ,212
0960,CFCStanbic Bank Ltd-Personal Banking,213
0971,EQUITY BANK,214
0972,GIRO Commercial Bank Ltd,215
0974,Standard Chartered Bank (K) Ltd,216
0976,Consolidated Bank,217
0977,ECOBANK KENYA LIMITED,218
0978,FAMILY BANK LIMITED,219
0979,CFCStanbic Bank Ltd (VAF),220
0980,CFCStanbic Bank Ltd -Business Banking,221
0981,CFCStanbic Bank Ltd -Regional Credit Card Centre,222
0982,UBA KENYA BANK LTD,223
0983,Co-operative Bank Of Kenya Limited- Card Centre,224
0984,AFRICAN BANKING CORPORATION,225
0985,BANK OF BARODA KENYA LIMITED,226
0986,GUARDIAN BANK LTD,227
0987,DEVELOPMENT BANK KENYA LIMITED,228
0988,MIDDLE EAST BANK KENYA LTD,229
0989,BANK OF INDIA,230
0990,Higher Education Loans Board,231
0991,Chase Bank,232
0992,Citi Bank,233
0993,Credit Bank,234
0994,First Community Bank,235
0995,Habib Bank,236
0996,K-REP,237
0997,National Bank,238
0998,Oriental Bank,239
0999,Paramount Bank,240
1000,Prime Bank Limited,241
1001,Victoria Commercial Bank,242
1002,Equatorial Commercial Bank ltd.,243
1003,Gulf African Bank Ltd,244
1004,Habib Bank A.G. Zurich,245
1006,Heritage,246
1007,Central Finance Limited,247
1008,Pan-African Bank Ltd.  (Under Liquidation),248
1009,Daima Bank,249
1010,Fortune Finance,250
1011,JAMII BORA,251
1012,Ari Credit Banking Corporation,252
1013,Meridian BIAO Bank Ltd,253
1014,Inter-Africa Credit Finance Ltd,254
1015,Middle Africa Finance Ltd,255
1016,Trade Bank,256
1017,Pan-African Credit & Finance Ltd (Under Liquidation),257
1018,POST BANK CREDIT LIMITED (IN LIQUIDATION),258
1019,Prudential Bank Ltd,259
1020,Prudential Building Society Ltd,260
1021,Thabiti Finance Company Ltd,261
1022,Trust Bank Ltd,262
1023,Euro Bank,263
1024,Reliance Bank Limited,264
1025,Kenya Finance Bank Limited,265
1026,Nairobi Finance Corporation Ltd.,266
1027,CFCStanbic Bank Ltd ,267
1028,CFCStanbic Bank Ltd-Commercial Banking,268
1030,Collection Africa Limited,270
1031,Imperial Bank Limited,271
1032,SMEP Deposit Taking Microfinance ,272
1033,TransUnion,273
1034,LETSHEGO KENYA LIMITED,274
1035,REMU DTM ,275
1036,SUMAC DTM ,276
1037,CENTURY DTM ,277
1038,FAULU KENYA DTM ,278
1039,UWEZO DTM ,279
1040,U&I DTM ,280
1041,afb ,281
1042,CRB Client Services,282
1043,KWFT,283
1029,Rafiki MicroFinance Bank,269
0016,AAR Credit Services,284
0019,SISDO,285
